Sample #,d13C ,d18O,d13C SD,d18O SD,Milled?,Date,Year,Boat,Location; Lat/Long,CFL in,CFL,Bin,Dressed Weight (lbs),Round Weight (lbs),Round Weight (kg),Sex,# Otoliths Present,Lf Oto (Y/N),Rt Oto (Y/N),Lf Oto Condition,Rt Oto Condition,Lf Oto Weight (g),Rt Oto Weight (g),Lf Oto Length (cm),Lf Oto Width (cm),Rt Oto Length (cm),Rt Oto Width (cm),Otolith Aged
254-2010,-7.67,-0.65,0.079,0.046,y,10/21/2010,2010,Nantucket Fish,,93,236.22,200-249,362,452.5,205.254,,2,Y,Y,Whole,Whole,0.1919,0.1984,1.923,0.467,1.948,0.486,R
198-2010,-7.43,-0.51,0.02,0.033,y,9/20/2010,2010,Dixie Lynn,,93,236.22,200-249,273,341.25,154.791,F,2,Y,Y,Whole,Whole,0.1926,0.195,1.973,0.512,2.008,0.541,L
041-2010,-8.09,-1.31,0.036,0.053,y,8/5/2010,2010,Mary Joseph,,94,238.76,200-249,372,465,210.924,,2,Y,Y,Broken tip,Whole,NA,0.2093,1.917,0.539,1.928,0.531,R
105-2010,-8.03,-0.7,0.038,0.048,y,8/19/2010,2010,Double Trouble,,94,238.76,200-249,328,410,185.976,,2,Y,Y,Whole,Broken tip,0.193,NA,1.883,0.523,NA,0.523,R
237-2010,-7.67,-1.19,0.012,0.034,y,10/13/2010,2010,Katie Z,,94,238.76,200-249,350,437.5,198.45,,2,Y,Y,Broken tip,Whole,NA,0.1587,NA,0.523,1.797,0.52,R
241-2010,-7.59,-1.08,0.019,0.022,y,10/11/2010,2010,Melamie Jeane,,94,238.76,200-249,344,430,195.048,F,2,Y,Y,Whole,Broken tip,0.2416,NA,1.989,0.507,1.973,0.541,R
103-2010,-7.35,-1.29,0.022,0.053,y,8/18/2010,2010,Sandy Lynn,,94,238.76,200-249,435,543.75,246.645,,2,Y,Y,Whole,Whole,0.215,0.2145,1.933,0.477,1.957,0.501,R
012-2010,-6.9,-0.66,0.015,0.031,y,7/27/2010,2010,Dixie Lynn,,94,238.76,200-249,334,417.5,189.378,M,2,Y,Y,Whole,Broken tip,0.1556,NA,1.723,0.499,NA,0.504,R
034-2010,-7.24,-0.57,0.011,0.047,y,8/4/2010,2010,Last One Too,,95,241.3,200-249,385,481.25,218.295,M,2,Y,Y,Broken tip (after weighing),Broken tip,0.1528,NA,NA,0.454,NA,0.433,L
078-2010,-8.03,-1.06,0.011,0.057,y,8/14/2010,2010,Compadre,,96,243.84,200-249,408,510,231.336,,2,Y,Y,Whole,Whole,0.2117,0.2053,1.968,0.477,1.928,0.483,R
