Sample #,d13C ,d18O,d13C SD,d18O SD,Milled?,Date,Year,Boat,Location; Lat/Long,CFL in,CFL,Bin,Dressed Weight (lbs),Round Weight (lbs),Round Weight (kg),Sex,# Otoliths Present,Lf Oto (Y/N),Rt Oto (Y/N),Lf Oto Condition,Rt Oto Condition,Lf Oto Weight (g),Rt Oto Weight (g),Lf Oto Length (cm),Lf Oto Width (cm),Rt Oto Length (cm),Rt Oto Width (cm),Otolith Aged
185-2011,-7.02,-1.09,0.017,0.028,y,8/30/2011,2011,Impulse,,81,205.74,200-249,259,323.75,146.85,,2,Y,Y,Whole,Whole,0.1183,0.122,1.64,0.4469,1.678,0.4442,R
203-2011,-7.83,-1.04,0.012,0.049,y,6/8/2011,2011,Jeannie Marie,,82,208.28,200-249,224,280,127.01,,2,Y,Y,Whole,Whole,0.118,0.1214,1.648,0.4148,1.635,0.4175,L
658-2011,-7.32,-0.73,0.014,0.054,y,10/1/2011,2011,Sooner or Later,,82,208.28,200-249,250,312.5,141.75,M,2,Y,Y,Whole,Whole,0.1228,0.1453,1.836,0.4201,1.849,0.4469,L
187-2011,-7.34,-0.63,0.007,0.005,y,8/30/2011,2011,Annie B,,83,210.82,200-249,,,,M,2,Y,Y,Broken tip,Broken tip,NA,NA,1.566,0.4737,1.648,0.479,L
646-2011,-6.86,-1.12,0.037,0.027,y,9/27/2011,2011,Dixie Lynn,,83,210.82,200-249,292,365,165.56,M,2,Y,Y,Broken tip,Broken tip,NA,NA,1.793,0.4175,1.758,0.4121,L
177-2011,-7.58,-1.28,0.012,0.024,y,8/30/2011,2011,,,84,213.36,200-249,256,320,145.15,,2,Y,Y,Broken tip,Whole,NA,0.127,1.525,0.4469,1.608,0.4442,R
519-2011,-7.72,-1.05,0.023,0.039,y,8/30/2011,2011,,,85,215.9,200-249,351,438.75,199.02,M,1,N,Y,NA,Whole,NA,0.1796,NA,NA,1.905,0.5145,
85-2011,-7.68,-0.48,0.017,0.048,y,7/21/2011,2011,Dixie Lynn,,85,215.9,200-249,239,298.75,135.51,M,2,Y,Y,Whole,Whole,0.1373,0.145,1.616,0.487,1.764,0.4844,R
206-2011,-7.12,-0.7,0.049,0.024,y,6/13/2011,2011,LowafinII,,85,215.9,200-249,284,355,161.03,,2,Y,Y,Whole,Whole,0.156,0.1535,1.697,0.4416,1.828,0.4282,L
15-2011,-7.82,-1.35,0.016,0.03,y,6/8/2011,2011,,,86,218.44,200-249,,,,,2,Y,Y,Whole,Whole,0.148,0.1551,1.718,0.463,1.828,0.4763,L
499-2011,-7.6,-0.94,0.056,0.035,y,7/31/2011,2011,,Area 5,86,218.44,200-249,,323,146.51,M,2,Y,Y,Whole,Whole,0.1575,0.167,1.747,0.4763,1.825,0.4897,R
104-2011,-6.92,-1.07,0.032,0.033,y,7/26/2011,2011,,,86,218.44,200-249,258,322.5,146.29,F,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.4362,1.659,0.4282,R
241-2011,-7.79,-1.33,0.005,0.028,y,7/5/2011,2011,Jeannie Marie,,87,220.98,200-249,,,,M,2,Y,Y,Whole,Broken tip (piece included),0.1373,0.137,1.624,0.4255,NA,0.463,R
624-2011,-7.06,-0.32,0.02,0.035,y,9/19/2011,2011,Dixie Lynn,,87,220.98,200-249,314,392.5,178.04,M,2,Y,Y,Broken tip,Broken tip,NA,NA,1.592,0.5138,1.56,0.5165,R
148-2011,-6.99,-1.2,0.005,0.051,y,,2011,Real Job,,87,220.98,200-249,265,331.25,150.26,,2,Y,Y,Whole,Whole,0.146,0.1399,1.782,0.4496,1.796,0.4603,L
631-2011,-8.23,-0.72,0.026,0.023,y,9/22/2011,2011,Last One Too,,88,223.52,200-249,285,356.25,161.6,M,2,Y,Y,Broken tip (piece included),Broken tip (piece included),0.1381,0.138,NA,0.4683,NA,0.4924,R
226-2011,-7.75,-1.06,0.039,0.032,y,6/28/2011,2011,Steve Weiner,,88,223.52,200-249,,,,,2,Y,Y,Whole,Whole,0.117,0.118,1.485,0.4201,1.517,0.4121,R
629-2011,-7.02,-0.57,0.031,0.034,y,9/20/2011,2011,Sandi Lynn,,88,223.52,200-249,338,422.5,191.65,M,2,Y,Y,Whole,Whole,0.1625,0.168,1.83,0.4924,1.849,0.4951,R
82-2011,-7.72,-0.92,0.038,0.059,y,7/23/2011,2011,Jamie Girl,,89,226.06,200-249,286,357.5,162.16,M,2,Y,Y,Whole,Whole,0.144,0.141,1.656,0.4656,1.723,0.4683,R
617-2011,-7.52,-0.56,0.023,0.022,y,9/10/2011,2011,Terri Lynn,,89,226.06,200-249,268,335,151.96,F,2,Y,Y,Whole,Whole,0.155,0.1502,1.769,0.4817,1.747,0.4924,L
173-2011,-7.87,-1.3,0.023,0.043,y,8/24/2011,2011,Last One Too,,90,228.6,200-249,300,375,170.1,F,2,Y,Y,Whole,Whole,0.1522,0.142,1.881,0.471,1.884,0.4763,R
101-2011,-7.11,-1.31,0.012,0.053,y,7/26/2011,2011,Dixie Lynn,,90,228.6,200-249,321,401.25,182.01,M,2,Y,Y,Whole,Whole,0.126,0.1237,1.595,0.4255,1.67,0.4603,L
126-2011,-6.86,-1.09,0.013,0.01,y,7/30/2011,2011,Saucy II,,90,228.6,200-249,364,455,206.39,,2,Y,Y,Whole,Whole,0.161,0.1637,1.962,0.479,1.85,0.5428,L
103-2011,-8.02,-0.66,0.014,0.038,y,7/25/2011,2011,Sandi Lynn,,91,231.14,200-249,362,452.5,205.25,,2,Y,Y,Whole,Broken tip (piece included),0.16,0.1544,1.889,0.457,NA,0.4496,L
169-2011,-7.75,-0.69,0.013,0.01,y,8/22/2011,2011,Jamie Girl,,91,231.14,200-249,316,395,179.17,M,2,Y,Y,Broken tip (piece included),Broken tip (piece included),0.175,0.172,NA,0.5138,NA,0.5245,L
199-2011,-7.51,-1,0.016,0.049,y,9/5/2011,2011,Samantha Mae,,91,231.14,200-249,290,362.5,164.43,,2,Y,Y,Whole,Broken tip,0.1785,NA,1.788,0.5138,NA,0.5272,R
105-2011,-7.34,-1.03,0.005,0.031,y,7/26/2011,2011,Jamie Girl,,91,231.14,200-249,334,417.5,189.38,M,2,Y,Y,Whole,Whole,0.156,0.1569,1.863,0.4576,1.9,0.4549,L
122-2011,-6.94,-1.11,0.022,0.043,y,7/28/2011,2011,Sandi Lynn,,91,231.14,200-249,313,391.25,177.47,M,2,Y,Y,Whole,Broken tip,0.15,NA,1.723,0.463,1.697,0.4683,L
195-2011,-6.88,-1.11,0.009,0.013,y,8/18/2011,2011,Pete Speeches,,91,231.14,200-249,,,,,1,Y,N,Whole,NA,0.126,NA,1.715,0.4603,NA,NA,L
98-2011,-7.92,-0.75,0.005,0.026,y,7/26/2011,2011,Last One Too,,92,233.68,200-249,329,411.25,186.54,M,2,Y,Y,Whole,Whole,0.1432,0.133,1.742,0.4737,1.782,0.4389,R
100-2011,-7.2,-1.07,0.009,0.03,y,7/26/2011,2011,Sandi Lynn,,92,233.68,200-249,360,450,204.12,M,2,Y,Y,Whole,Whole,0.1893,0.189,1.836,0.5138,1.796,0.5031,R
168-2011,-7.12,-0.65,0.005,0.017,y,8/19/2011,2011,Sooner or later,,92,233.68,200-249,364,455,206.39,M,2,Y,Y,Whole,Whole,0.167,0.1632,1.879,0.4897,1.844,0.4817,L
198-2011,-7.05,-1.15,0.02,0.013,y,9/5/2011,2011,No Name,,92,233.68,200-249,295,368.75,167.27,,2,Y,Y,Broken tip,Whole,NA,0.189,1.822,0.471,1.913,0.4656,L
151-2011,-6.64,-1.29,0.016,0.032,y,8/7/2011,2011,Peter Speeches,,92,233.68,200-249,,,,,2,Y,Y,Whole,Whole,0.221,0.2055,1.946,0.4496,1.948,0.4442,L
638-2011,-7.65,-0.88,0.025,0.026,y,9/25/2011,2011,Miss Di,,93,236.22,200-249,207,258.75,117.37,M,2,Y,Y,Broken tip,Broken tip,NA,NA,1.691,0.4763,1.673,0.4496,L
205-2011,-7.58,-1.17,0.011,0.008,y,6/8/2011,2011,Jeannie Marie,,93,236.22,200-249,329,411.25,186.54,,2,Y,Y,Broken tip (piece included),Broken tip,0.106,NA,NA,0.4576,NA,0.4469,L
660-2011,-6.84,-0.88,0.028,0.069,y,10/7/2011,2011,Fin Seeker,,93,236.22,200-249,,,,M,2,Y,Y,Broken tip,Whole,NA,0.165,NA,0.4603,1.788,0.4656,R
125-2011,-7.61,-0.78,0.038,0.042,y,8/2/2011,2011,Dixie Lynn,,94,238.76,200-249,333,416.25,188.81,M,2,Y,Y,Broken tip (piece included),Broken tip,0.1735,NA,NA,0.4308,1.946,0.471,R
623-2011,-7.54,-1.32,0.014,0.029,y,9/20/2011,2011,Last One Too,,94,238.76,200-249,330,412.5,187.11,M,2,Y,Y,Whole,Whole,0.1039,0.104,1.536,0.4549,1.541,0.4469,R
89-2011,-7.43,-1.22,0.004,0.08,y,7/25/2011,2011,Mary Joseph,,94,238.76,200-249,562,702.5,318.65,M,2,Y,Y,Broken tip,Whole,NA,0.19,1.809,0.5218,1.913,0.5245,R
130-2011,-7.15,-0.96,0.025,0.036,y,8/4/2011,2011,,,94,238.76,200-249,360,450,204.12,M,2,Y,Y,Broken tip,Whole,NA,0.1665,NA,0.4951,1.777,0.5138,R
664-2011,-6.9,-0.96,0.02,0.019,y,10/8/2011,2011,Fin Seeker,,94,238.76,200-249,,,,F,2,Y,Y,Whole,Whole,0.2022,0.201,1.86,0.5085,1.855,0.5031,R
663-2011,-7.75,-1.05,0.06,0.029,y,10/8/2011,2011,Fin Seeker,,96,243.84,200-249,,,,F,2,Y,Y,Broken tip (piece included),Whole,0.165,0.1615,NA,0.479,1.796,0.4763,L
662-2011,-7.26,-0.96,0.047,0.017,y,10/7/2011,2011,Fin Seeker,,96,243.84,200-249,,,,F,2,Y,Y,Broken tip,Whole,NA,0.2122,NA,0.5192,1.838,0.5192,L
255-2011,-7.08,-0.6,0.006,0.037,y,7/31/2011,2011,Surf Rider,,96,243.84,200-249,401,501.25,227.37,M,2,Y,Y,Whole,Whole,0.1299,0.133,1.761,0.4523,1.79,0.4496,R
133-2011,-7.96,-0.75,0.011,0.071,y,8/8/2011,2011,Compadre,,97,246.38,200-249,415,518.75,235.31,M,1,Y,N,Broken tip,NA,NA,NA,NA,0.4014,NA,NA,L
621-2011,-7.75,-0.73,0.011,0.018,y,9/19/2011,2011,Sandi Lynn,,97,246.38,200-249,395,493.75,223.97,M,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.4656,NA,0.4817,R
102-2011,-7.32,-1.19,0.021,0.029,y,7/25/2011,2011,Jamie Girl,,97,246.38,200-249,390,487.5,221.13,M,2,Y,Y,Whole,Whole,0.1766,0.159,1.927,0.4683,1.937,0.4683,R
111-2011,-6.6,-0.96,0.015,0.048,y,7/27/2011,2011,Last One Too,,97,246.38,200-249,410,512.5,232.47,M,2,Y,Y,Whole,Whole,0.153,0.146,1.766,0.4469,1.726,0.4175,R
643-3011,-7.55,-0.98,0.033,0.04,y,9/24/2011,2011,Fin Seeker,43°27,98,248.92,200-249,338,422.5,191.65,M,2,Y,Y,Broken tip (piece included),Broken tip,0.177,NA,NA,0.456,NA,0.4688,L
516-2011,-7.7,-0.81,0.008,0.069,y,8/26/2011,2011,,Area 4 - Cape Cod Bay,113,287.02,250-300,709,830,376.49,,2,Y,Y,Broken tip,Whole,NA,0.2966,NA,5.727,1.905,0.5486,L
